userId,playNum
o03035d563b,226
f0303cjbcn8,83
t03033gg4uy,296
b0020d60oo6,161
m0020owq1mh,246
m0020ymkfdh,211
n01925sswwc,65
c0301nboh3e,103
y0020pp2wh5,394
f0020i612o0,641
f0020bv05jb,610
c00208v8uqh,620
j00201t8qoo,628
d0020xuzunh,646
d00200mb6l5,655
j00203zdkuo,630
x00204fhmry,671
e0020pldimz,638
r0020b8thjn,663
t00205ovrjh,603
u0020oeic1n,583
q00206zzej9,606
c0020lxnqe9,647
f00204bx15f,591
i00208ptl9j,594
a0020y3wn0h,608
i0020c1vatl,593
x0020n23oqf,609
x00204j338e,646
f00200sk8k1,3398
l0020nva2m0,62
h0020j3lj29,633
a00205k730m,1148
l0020yxkz19,2951
p0020suyxeo,647
f0020uvxnp0,3056
k00208492kn,3104
m00208ps4qy,653
m0020kb1sin,2879
h00207v34vy,3074
p0020xs79m8,2714
k00205dolut,93
s0020gkwhvy,634
z0020hogmks,3290
b0020l8igd5,2053
v0020r03256,3260
v0020fg1ybm,1781
s00208oc7e0,5810
e0020aixo6x,1714
q00209y4dys,3808
o00202lqd53,1539
s0020o92tl4,1530
g00206gpn27,923
u0020r9ezbo,260
v00206y7j2n,1312
k0020bs9jna,1306
t0020lxxwld,1020
t0020hsvkmq,1075
l0020ynmzl2,1149
i0305q8uy21,166
g0020xyinc7,644
g0020svdpp3,1003
l00201lpp0w,703
b03033pj9ev,120
a0303wqq2ao,137
f030328xutt,76
z0020su2r98,85
d0304ns018y,66
p0304925p33,116
o0016lsv7vo,98
g01790pkjq5,130
t0303uquyqs,361
u0303xc3kj3,135
i0303dcviu4,572
1695638465,67
w0020ojq819,235
k0303kbd2v3,293
m0199fs0qos,223
w0303h65fb4,168
m0019y6nopt,718
k0303dw16g9,132
d0020fx5rio,134
e03048vvz1q,214
d0304t8mzlp,69
t0304p6cc39,248
t0304fqkigw,138
u00205b2plb,121
k00207qkkfx,70
c0020zgctt8,1488
t0020tlttov,8117
s00209l8npw,1066
c00201vpw03,7403
l0020khmcn6,196
q0020h65km0,1676
t00181d9djh,1014
v0018s7w3m5,970
s0020izossb,1532
i00208rc592,1460
o00147kpjxz,77
k0020nufyyg,3038
g0018ky5455,925
t0020xmlwg8,1869
k0020t7r2n1,1563
n0020lvl2da,1779
k00207htmit,2268
s0020tvx6r6,1943
d0014nnfyl8,168
p0014a734vt,317
v0303jjn693,114
q00207uzqkc,353
w00204r0ngu,259
s0020v3akcr,202
198303,56
z0020f4j6q5,122
p0020qb9wan,362
j0020aibij5,646
m0015zk4hhy,75
z0301eiqo6x,56
a00202moutm,352
g002010xrhx,244
c0020icm21e,254
v0020vlue2e,573
j0014lui334,280
i0020eokufg,280
l0020lvwmfz,599
w0016y8gi4w,500
g0020q6tm60,564
m0020yjy4pv,573
r03037t94sb,93
c0303u3gh15,59
r03036e6u1z,126
q0303apr9wf,240
e00208dagaf,103
d0304odch3l,311
y030464oe94,85
c0304i795lj,74
g0304pfkc68,101
j0304bn3lnf,157
t0303tk2dwo,139
l0304cqw8ky,298
y03047dlh0t,181
j0304u6ttg7,80
u0305pmlmo9,66
i0304hf085f,60
d0304rb2711,88
m0304gi65ns,69
t0304a9zipf,77
d0304fs7jci,84
a0305agltv0,81
x0304l4d9pg,106
i0304xwz3or,226
y030401k36j,54
l0304g04k3l,66
l0304tp9ggg,80
r0304nqhnxg,63
h0304f0q76x,54
v030452zi5m,62
q0305f96k7n,62
p03043xgkhm,160
y0020m0elz0,121
g0304jvcxmv,101
k0020t5kiiu,81
n0304eyb73i,81
e0304bp4zok,139
o002011pvud,212
i0304ok3m19,58
z0304yyke9j,71
c0305wjl2ah,103
e0020r94xez,103
e0305eh81wz,54
m0305h0jh6t,361
g0305xkvp63,101
g030465rn01,88
x0304xu4ufn,133
t0305bsuf8z,115
t03057n493u,119
j03046ky2j8,272
n0305ls9f6t,122
x0020r5vfvp,211
z0305ikb1bo,103
p03051i79pk,68
x0020zra48q,78
e0020uqcr7u,101
g0305yl1mkc,110
l03056vn2um,60
l03053gounx,105
c0305v9vgi6,102
e0020p67pr6,3156
i0304ja56bk,117
w0020q0jqs8,281
m0020cca12c,1391
l0020t456m9,1523
b0020ypmbpy,1363
j002055vcpz,1626
a0020yo3aad,1390
f0020tkt8ff,1534
y0020b6w1qo,1378
d0020f9dhjz,1525
p00208pfn3h,1530
h0020yfbgja,1529
l0020qrraim,1343
y00203z7ng3,1439
o00203m9gjd,1341
q0020u2sx1w,1371
t00200upuc9,1597
n0020sjudfm,1340
x0020p6c21q,1531
x0020zm5jcy,1462
n00206fd9rf,1609
k0020k6qxbs,1482
c0020x64ak5,1585
k0020s6wb3t,1394
h0020m1d56h,1423
l0020aomcyj,1637
i00200s0ztg,1331
z0020jq459e,1671
l0020zfzucg,2284
k0020sgcwyf,4796
s0020fwz916,70
d0020xz9u4x,484
f0020dlsels,211
i0020pm5yyr,4682
u0300v2whuo,236
x002080p20z,2507
v03030xvnqj,663
e0020exmc2v,2483
z0159ggf7pz,480
y0020g4rp0w,2351
