userId,playNum
o03035d563b,226
f0303cjbcn8,83
t03033gg4uy,296
b0020d60oo6,161
x0303gz7j5d,44
m0020owq1mh,246
m0020ymkfdh,211
n01925sswwc,65
t0303jlf2rb,22
j01882o7yl5,8
v0189i2o5u2,14
r0301bhrfmk,8
p0197tgxl4j,12
c0301nboh3e,103
y0020pp2wh5,394
z0195odrlhl,6
p0302gxvxep,26
n0196mr9t69,10
h0304wkj908,17
s01924ppsjx,5
p0196rxtx2i,8
e0192lgus3r,7
t01988s0l02,10
f0020i612o0,641
f0020bv05jb,610
c00208v8uqh,620
j00201t8qoo,628
d0020xuzunh,646
d00200mb6l5,655
j00203zdkuo,630
x00204fhmry,671
e0020pldimz,638
r0020b8thjn,663
t00205ovrjh,603
u0020oeic1n,583
q00206zzej9,606
c0020lxnqe9,647
f00204bx15f,591
i00208ptl9j,594
a0020y3wn0h,608
i0020c1vatl,593
x0020n23oqf,609
x00204j338e,646
f00200sk8k1,3398
l0020nva2m0,62
h0020j3lj29,633
a00205k730m,1148
l0020yxkz19,2951
p0020suyxeo,647
f0020uvxnp0,3056
k00208492kn,3104
m00208ps4qy,653
m0020kb1sin,2879
h00207v34vy,3074
p0020xs79m8,2714
k00205dolut,93
s0020gkwhvy,634
z0020hogmks,3290
b0020l8igd5,2053
v0020r03256,3260
v0020fg1ybm,1781
s00208oc7e0,5810
e0020aixo6x,1714
q00209y4dys,3808
o00202lqd53,1539
s0020o92tl4,1530
g00206gpn27,923
u0020r9ezbo,260
v00206y7j2n,1312
k0020bs9jna,1306
t0020lxxwld,1020
t0020hsvkmq,1075
l0020ynmzl2,1149
201651,14
i0305q8uy21,166
g0020xyinc7,644
g0020svdpp3,1003
l00201lpp0w,703
j0199qwtflc,10
b03033pj9ev,120
a0303wqq2ao,137
j0020euvwdo,15
r0020yexbkr,18
f030328xutt,76
u0303ytj6j9,49
j01996ez5ky,17
z0020su2r98,85
o0162rxsgsx,6
p0304scglh1,30
z0016lle88c,2
y0304zjyyx2,23
w0016kifxdd,4
m0169g2sgdl,7
k001890q6an,1
i01681msfao,8
v0016qww1mc,3
l0304gw7gtx,1
t0304yih3io,41
l03046n8otg,9
g0020sgz1q5,14
x0018ypae8r,2
p0020i31p79,8
r0134y7xq7i,2
d0304ns018y,66
x0303usb6my,12
i0195sy1obk,25
g0017nx7krd,1
m001923cpoj,9
p0304925p33,116
n0018lyfmkk,10
c00142xtrnk,1
t00149bv6u4,1
t1708hj60iv,1
r00142wmr4r,1
o0016lsv7vo,98
e163957mkr8,3
n0014s0jxsn,1
f1710t1kitp,1
199069,16
x1717zf9y1x,1
a1716ve8gwc,1
r1690t5tggg,1
l1629r8yuun,1
m1707fwtbz8,1
a1677kl352z,1
a1634ha918y,1
p1708ifm1oz,2
t17145eln10,1
n1691xpy25s,1
z1704fg56k6,1
z1701pnjsho,1
u1704dq3rcg,2
d17011wiuz5,1
j1714140xsg,1
d17141izg42,1
n17268tbupx,1
m1721jscq2e,1
w17074wajbp,1
v1714n5ifb4,1
c170086rfr3,1
m1711hnqqu5,1
i1712caftqd,1
k1692kthu3n,1
w1716z5my28,1
m16664e6d4m,1
v1717skv0v8,1
u1630r4h1xe,1
x17265857f7,1
v172679irvm,1
v00149uf4ir,3
x17212dmzdt,1
p1715jcv60c,1
x16381yoghn,1
j1629nduenl,1
e1714hn6sbr,1
k169034wues,1
g01790pkjq5,130
t0303uquyqs,361
b0014qpvhch,11
u0303xc3kj3,135
i0199yvwbcb,22
i0303dcviu4,572
1695638465,67
w0020ojq819,235
k0303kbd2v3,293
m0199zrrg4e,42
m0199fs0qos,223
w0303h65fb4,168
m0019y6nopt,718
k0303dw16g9,132
v01815hzlef,12
u0020cxg6cj,41
a0199vsiai3,16
d0020fx5rio,134
c00206jipcq,13
m0164kqormx,18
r0020ifott7,24
e03048vvz1q,214
k0020wy322b,25
p0020dgv794,45
d0304t8mzlp,69
t0304p6cc39,248
t0304fqkigw,138
y0020ot45ne,9
u00205b2plb,121
j0019j3bhlm,20
k00207qkkfx,70
m0166stwp04,48
l01734tg6ux,37
c0020zgctt8,1488
t0020tlttov,8117
s00209l8npw,1066
c00201vpw03,7403
l0020khmcn6,196
1695637548,1
k030096d59s,1
s0302h061ms,1
u01997l6jjh,2
a030242flom,10
p03021itrpn,4
b0302nitx92,5
n0302r0c9md,5
i0302dox7dk,4
201126,27
q0020h65km0,1676
t00181d9djh,1014
v0018s7w3m5,970
s0020izossb,1532
i00208rc592,1460
o00147kpjxz,77
k0020nufyyg,3038
g0018ky5455,925
t0020xmlwg8,1869
k0020t7r2n1,1563
n0020lvl2da,1779
k00207htmit,2268
s0020tvx6r6,1943
p0014ezcrk0,46
d0014nnfyl8,168
p0014a734vt,317
c03026znir2,38
v0303jjn693,114
u00203agfeo,21
q00207uzqkc,353
w00204r0ngu,259
s0020v3akcr,202
198303,56
z0020f4j6q5,122
i0020jj17w9,29
p0020qb9wan,362
a00201g7bl8,28
j0020aibij5,646
c0303fe5ljx,19
m0015zk4hhy,75
z0301eiqo6x,56
